,Unnamed: 0,Unnamed: 0.1,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s),fit_norm_intensity
27,27,27,0.371401351117,0.0029201013139900003,0.375016834827,0.00595230246836,-328.2828,30.0001251544,0.2,0.3745297007211195
28,28,28,0.372620413487,0.0029201013139900003,0.374941153666,0.00595230246836,-318.1818,30.0001251544,0.2,0.3739707993619812
29,29,29,0.3690861108,0.0029201013139900003,0.363743726987,0.00595230246836,-308.0808,30.0001251544,0.2,0.37335642036735045
30,30,30,0.373678075422,0.0029201013139900003,0.364088765378,0.00595230246836,-297.9798,30.0001251544,0.2,0.37267959945905327
31,31,31,0.369973813187,0.0029201013139900003,0.368719823749,0.00595230246836,-287.8788,30.0001251544,0.2,0.3719322466930332
32,32,32,0.371779786226,0.0029201013139900003,0.367869921897,0.00595230246836,-277.7778,30.0001251544,0.2,0.3711049169355164
33,33,33,0.37418611997,0.0029201013139900003,0.365669486106,0.00595230246836,-267.6768,30.0001251544,0.2,0.37018652575423416
34,34,34,0.369089167626,0.0029201013139900003,0.360123000021,0.00595230246836,-257.5757,30.0001251544,0.2,0.36916392108365675
35,35,35,0.369967088169,0.0029201013139900003,0.373740289499,0.00595230246836,-247.4747,30.0001251544,0.2,0.36802172983498915
36,36,36,0.367232145586,0.0029201013139900003,0.365394809433,0.00595230246836,-237.3737,30.0001251544,0.2,0.366741376397231
37,37,37,0.363668803049,0.0029201013139900003,0.359491437108,0.00595230246836,-227.2727,30.0001251544,0.2,0.36530064408165547
38,38,38,0.358172629176,0.0029201013139900003,0.35313361512900004,0.00595230246836,-217.1717,30.0001251544,0.2,0.3636726928371772
39,39,39,0.35492903068000003,0.0029201013139900003,0.350996166374,0.00595230246836,-207.0707,30.0001251544,0.2,0.3618248661191907
40,40,40,0.356707186599,0.0029201013139900003,0.353398378295,0.00595230246836,-196.9697,30.0001251544,0.2,0.3597171107561498
41,41,41,0.35254348335600005,0.0029201013139900003,0.350940674916,0.00595230246836,-186.8687,30.0001251544,0.2,0.35729983889456307
42,42,42,0.34909049225100003,0.0029201013139900003,0.34608245216600003,0.00595230246836,-176.7677,30.0001251544,0.2,0.35451095219886647
43,43,43,0.350605455416,0.0029201013139900003,0.346076528242,0.00595230246836,-166.6667,30.0001251544,0.2,0.35127154559333196
44,44,44,0.345793399293,0.0029201013139900003,0.34624046379100004,0.00595230246836,-156.5657,30.0001251544,0.2,0.34747941493541856
45,45,45,0.331838069716,0.0029201013139900003,0.325876670335,0.00595230246836,-146.4646,30.0001251544,0.2,0.34299851866751646
46,46,46,0.331870166393,0.0029201013139900003,0.329358366415,0.00595230246836,-136.3636,30.0001251544,0.2,0.337642326585643
47,47,47,0.31420812912,0.0029201013139900003,0.312390190787,0.00595230246836,-126.2626,30.0001251544,0.2,0.3311418129433481
48,48,48,0.319443250018,0.0029201013139900003,0.3121126126,0.00595230246836,-116.1616,30.0001251544,0.2,0.32308987621223184
49,49,49,0.309420833291,0.0029201013139900003,0.301089639459,0.00595230246836,-106.0606,30.0001251544,0.2,0.3128387866602193
50,50,50,0.294849522626,0.0029201013139900003,0.294780538739,0.00595230246836,-95.95959,30.0001251544,0.2,0.2993290970297202
51,51,51,0.277255438604,0.0029201013139900003,0.27262977525800003,0.00595230246836,-85.85859,30.0001251544,0.2,0.28088420572417
52,52,52,0.254859416554,0.0029201013139900003,0.247498673162,0.00595230246836,-75.75758,30.0001251544,0.2,0.2553332125065841
53,53,53,0.239568131566,0.0029201013139900003,0.23272899898200006,0.00595230246836,-65.65656,30.0001251544,0.2,0.22192069587395155
54,54,54,0.187971163938,0.0029201013139900003,0.185354768538,0.00595230246836,-55.55556,30.0001251544,0.2,0.1872948326543633
55,55,55,0.141686104686,0.0029201013139900003,0.141205691965,0.00595230246836,-45.45454,30.0001251544,0.2,0.16205840471458025
56,61,64,0.185737357475,0.0029201013139900003,0.17663124535799998,0.00595230246836,45.45454,30.0001251544,0.2,0.1519014580144897
57,62,65,0.212974628341,0.0029201013139900003,0.206514785834,0.00595230246836,55.55556,30.0001251544,0.2,0.1750260059705746
58,63,66,0.232640445889,0.0029201013139900003,0.225091971954,0.00595230246836,65.65656,30.0001251544,0.2,0.20840333640474376
