,Unnamed: 0,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s),fit_norm_intensity
434,74,0.124775972756,0.0027689954406500002,0.11702652602399999,0.00271368476335,146.4646,70.0000632743,0.2,0.11508270376891373
435,75,0.125399430797,0.0027689954406500002,0.11970581129499999,0.00271368476335,156.5657,70.0000632743,0.2,0.12252168831270123
436,76,0.135890185303,0.0027689954406500002,0.133015026728,0.00271368476335,166.6667,70.0000632743,0.2,0.12886209379887648
437,77,0.13307133634,0.0027689954406500002,0.12937307892000002,0.00271368476335,176.7677,70.0000632743,0.2,0.1332064153167375
438,78,0.142330450184,0.0027689954406500002,0.140381274172,0.00271368476335,186.8687,70.0000632743,0.2,0.13573199178066037
439,79,0.133364109115,0.0027689954406500002,0.127920995985,0.00271368476335,196.9697,70.0000632743,0.2,0.1371946207290206
440,80,0.139096146569,0.0027689954406500002,0.138746301084,0.00271368476335,207.0707,70.0000632743,0.2,0.13838444750283904
441,81,0.1497209567,0.0027689954406500002,0.14822795409199999,0.00271368476335,217.1717,70.0000632743,0.2,0.13987013984940252
442,82,0.154372009637,0.0027689954406500002,0.142558822785,0.00271368476335,227.2727,70.0000632743,0.2,0.14196193669980783
443,83,0.156665899419,0.0027689954406500002,0.149799014634,0.00271368476335,237.3737,70.0000632743,0.2,0.14475617185968503
444,84,0.148920635045,0.0027689954406500002,0.145546183099,0.00271368476335,247.4747,70.0000632743,0.2,0.14819172799128918
445,85,0.148698460483,0.0027689954406500002,0.142044264295,0.00271368476335,257.5757,70.0000632743,0.2,0.15210715909034223
446,86,0.158162706672,0.0027689954406500002,0.154510932332,0.00271368476335,267.6768,70.0000632743,0.2,0.15630057305562228
447,87,0.16273200849799999,0.0027689954406500002,0.157761189342,0.00271368476335,277.7778,70.0000632743,0.2,0.1605872716940595
448,88,0.162731603608,0.0027689954406500002,0.157626370523,0.00271368476335,287.8788,70.0000632743,0.2,0.16484288723405108
449,89,0.168977741809,0.0027689954406500002,0.164847603476,0.00271368476335,297.9798,70.0000632743,0.2,0.16902698154948395
450,90,0.17360796127999997,0.0027689954406500002,0.165673368738,0.00271368476335,308.0808,70.0000632743,0.2,0.17318581834339158
451,91,0.17625325937,0.0027689954406500002,0.179190078758,0.00271368476335,318.1818,70.0000632743,0.2,0.17743958276370916
452,92,0.176483016431,0.0027689954406500002,0.178651646103,0.00271368476335,328.2828,70.0000632743,0.2,0.18195925377818764
453,93,0.178443129054,0.0027689954406500002,0.17512107829999998,0.00271368476335,338.3839,70.0000632743,0.2,0.18693707871756413
454,94,0.190283715493,0.0027689954406500002,0.19431618842099999,0.00271368476335,348.4849,70.0000632743,0.2,0.19255369343164747
455,95,0.198063469192,0.0027689954406500002,0.19636501315000002,0.00271368476335,358.5858,70.0000632743,0.2,0.19894530857775655
456,96,0.207067612328,0.0027689954406500002,0.197551278314,0.00271368476335,368.6869,70.0000632743,0.2,0.20617642771919098
457,97,0.21566914688799999,0.0027689954406500002,0.211289596767,0.00271368476335,378.7879,70.0000632743,0.2,0.21422279265802144
458,98,0.225426607551,0.0027689954406500002,0.230159456489,0.00271368476335,388.8889,70.0000632743,0.2,0.22297085957064694
459,99,0.23126174489700002,0.0027689954406500002,0.230942107816,0.00271368476335,398.9899,70.0000632743,0.2,0.23223316464273175
460,100,0.23555921784000003,0.0027689954406500002,0.232198169806,0.00271368476335,409.0909,70.0000632743,0.2,0.2417766167462098
