Unnamed: 0,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s)
48,0.264949985272,0.00121583392652,0.251467371031,0.00192365795543,106.7347,40.0000738328,0.2
49,0.277254717944,0.00127229934366,0.277946935475,0.00212621952272,116.3265,40.0000738328,0.2
50,0.276754637509,0.00127000451523,0.2761903078,0.00211278179206,125.9184,40.0000738328,0.2
51,0.277870482643,0.00127512503776,0.291881709881,0.0022328168102,135.5102,40.0000738328,0.2
52,0.287041936437,0.00131721209305,0.286945609401,0.00219505696519,145.102,40.0000738328,0.2
53,0.311332423367,0.00142867916134,0.310752455393,0.00237717295303,154.6939,40.0000738328,0.2
54,0.308528372279,0.00141581159903,0.311031513126,0.00237930766986,164.2857,40.0000738328,0.2
55,0.32721499047,0.0015015629696,0.318242639211,0.00243447085069,173.8775,40.0000738328,0.2
56,0.320363594394,0.00147012247042,0.322394738828,0.00246623329934,183.4694,40.0000738328,0.2
57,0.317854502529,0.00145860845199,0.332751053852,0.00254545633214,193.0612,40.0000738328,0.2
58,0.324237279299,0.00148789849529,0.315928413563,0.00241676764506,202.6531,40.0000738328,0.2
59,0.325808553238,0.00149510894356,0.326946860008,0.00250105580568,212.2449,40.0000738328,0.2
60,0.320301741636,0.00146983863315,0.328055975419,0.00250954024116,221.8367,40.0000738328,0.2
61,0.328770667533,0.00150870184507,0.329525136111,0.00252077892648,231.4286,40.0000738328,0.2
62,0.329452429303,0.00151183039436,0.334934871436,0.00256216195105,241.0204,40.0000738328,0.2
63,0.339430419881,0.00155761858134,0.340258185543,0.00260288387648,250.6122,40.0000738328,0.2
64,0.327485128378,0.00150280261048,0.321283812193,0.00245773500849,260.2041,40.0000738328,0.2
65,0.327581472515,0.00150324472588,0.323608258315,0.002475516398,269.7959,40.0000738328,0.2
66,0.311982011008,0.00143166006617,0.320826866476,0.00245423949629,279.3878,40.0000738328,0.2
67,0.324751129548,0.00149025651228,0.316923421918,0.00242437919215,288.9796,40.0000738328,0.2
68,0.311925416626,0.00143140035916,0.309515648752,0.00236771171389,298.5714,40.0000738328,0.2
69,0.312510522322,0.00143408536159,0.308876933858,0.00236282571623,308.1633,40.0000738328,0.2
70,0.3147178369,0.00144421454861,0.315222295294,0.00241136602965,317.7551,40.0000738328,0.2
71,0.310141044786,0.00142321202196,0.301993251038,0.00231016738856,327.3469,40.0000738328,0.2
72,0.304303490269,0.00139642395921,0.305109460406,0.0023340055546,336.9388,40.0000738328,0.2
73,0.310992678826,0.00142712010128,0.320105094065,0.00244871813089,346.5306,40.0000738328,0.2
74,0.324987310827,0.00149134032895,0.320200571398,0.00244944850688,356.1224,40.0000738328,0.2
75,0.329124137326,0.00151032388919,0.331775580831,0.00253799422512,365.7143,40.0000738328,0.2
76,0.335907664706,0.00154145294444,0.334585434747,0.00255948885409,375.3061,40.0000738328,0.2
77,0.340981507006,0.00156473639396,0.346394350709,0.00264982389454,384.8979,40.0000738328,0.2
78,0.359925741041,0.00165166994267,0.362521222576,0.00277319013978,394.4898,40.0000738328,0.2
79,0.356673435711,0.00163674537812,0.347043674195,0.00265479104509,404.0816,40.0000738328,0.2
80,0.363765424754,0.00166928993884,0.361913039728,0.00276853770408,413.6735,40.0000738328,0.2
81,0.369543755701,0.00169580622944,0.367790329362,0.00281349739374,423.2653,40.0000738328,0.2
82,0.375119104436,0.00172139105119,0.383120392432,0.00293076826534,432.8571,40.0000738328,0.2
83,0.387199331206,0.001776826229,0.376814231039,0.00288252782174,442.449,40.0000738328,0.2
84,0.380651584041,0.00174677914998,0.384698873376,0.00294284322129,452.0408,40.0000738328,0.2
85,0.399457897122,0.00183307979066,0.402028009272,0.00307540646394,461.6327,40.0000738328,0.2
86,0.396261562299,0.0018184120702,0.393033734031,0.00300660267023,471.2245,40.0000738328,0.2
87,0.3899522691,0.00178945923703,0.39864115142,0.00304949790959,480.8163,40.0000738328,0.2
88,0.386333303476,0.00177285209821,0.380579893267,0.00291133412799,490.4082,40.0000738328,0.2
89,0.385980011934,0.00177123087207,0.396398080966,0.00303233902211,500.0,40.0000738328,0.2
90,0.396139683847,0.0018178527799,0.405619276589,0.00310287869589,500.0,40.0000738328,0.2
91,0.398431221561,0.00182836846004,0.409844730742,0.00313520228708,555.5555,40.0000738328,0.2
92,0.407913766205,0.00187188308592,0.422692771279,0.00323348635188,611.1111,40.0000738328,0.2
93,0.409695419732,0.00188005894901,0.410985801305,0.00314393117089,666.6667,40.0000738328,0.2
94,0.405220319255,0.001859523077,0.41636578082,0.00318508657151,722.2222,40.0000738328,0.2
95,0.412243236414,0.00189175067248,0.418743269905,0.00320327372546,777.7778,40.0000738328,0.2
96,0.401378407416,0.00184189285615,0.400170599968,0.00306119778085,833.3333,40.0000738328,0.2
97,0.402508779928,0.00184708004364,0.402026327422,0.00307539359824,888.8889,40.0000738328,0.2
98,0.417975177793,0.00191805408512,0.425747399062,0.0032568534353,944.4445,40.0000738328,0.2
99,0.409480316519,0.00187907185786,0.415731335238,0.00318023323293,1000.0,40.0000738328,0.2
0,0.420681975248,0.00324343580968,0.412485531434,0.00102468520912,-1000.0,20.0008596832,0.2
1,0.421915479398,0.00325294606153,0.420094909026,0.00104358821558,-922.2222,20.0008596832,0.2
2,0.415413214925,0.00320281394588,0.413630098613,0.00102752851141,-844.4445,20.0008596832,0.2
3,0.42769821054,0.00329753061321,0.425835930572,0.00105784990337,-766.6667,20.0008596832,0.2
4,0.427056005205,0.00329257924399,0.432329085514,0.00107398002024,-688.8889,20.0008596832,0.2
5,0.427245645979,0.00329404136435,0.429360184104,0.00106660475703,-611.1111,20.0008596832,0.2
6,0.423307770581,0.00326368055302,0.420001848665,0.0010433570376,-533.3333,20.0008596832,0.2
7,0.418163759205,0.003224020497,0.415737376473,0.0010327633531,-455.5555,20.0008596832,0.2
8,0.410135719165,0.00316212473231,0.407328833632,0.00101187508231,-377.7778,20.0008596832,0.2
9,0.414494444749,0.00319573027635,0.404687775594,0.00100531423859,-300.0,20.0008596832,0.2
10,0.408065119036,0.00314616051468,0.401942745805,0.000998495111104,-300.0,20.0008596832,0.2
11,0.412293501551,0.00317876112054,0.408171268187,0.00101396783505,-290.6897,20.0008596832,0.2
12,0.410342013213,0.00316371524853,0.41382813407,0.00102802046565,-281.3793,20.0008596832,0.2
13,0.398683989706,0.00307383250304,0.392713967445,0.000975569233798,-272.069,20.0008596832,0.2
14,0.409277322486,0.00315550653926,0.398657790342,0.000990334715116,-262.7586,20.0008596832,0.2
15,0.418255287666,0.0032247261766,0.411915254537,0.00102326854294,-253.4483,20.0008596832,0.2
16,0.415149043218,0.00320077719598,0.406170846698,0.00100899844302,-244.1379,20.0008596832,0.2
17,0.414204367949,0.00319349379954,0.404368962338,0.00100452225147,-234.8276,20.0008596832,0.2
18,0.413594565496,0.00318879225484,0.407638616772,0.00101264463706,-225.5172,20.0008596832,0.2
19,0.415003079637,0.00319965182447,0.398622673224,0.000990247478139,-216.2069,20.0008596832,0.2
20,0.407600333467,0.0031425770425,0.405781046698,0.00100803011259,-206.8965,20.0008596832,0.2
21,0.400502036691,0.00308784954927,0.402622763693,0.00100018439283,-197.5862,20.0008596832,0.2
22,0.404593277126,0.00311939279694,0.404426780163,0.00100466588092,-188.2759,20.0008596832,0.2
23,0.407406819839,0.00314108506264,0.406846224109,0.00101067619701,-178.9655,20.0008596832,0.2
24,0.409555264342,0.00315764945629,0.416552469843,0.00103478818563,-169.6552,20.0008596832,0.2
25,0.400802225945,0.00309016399256,0.398041234101,0.000988803083065,-160.3448,20.0008596832,0.2
26,0.405971583002,0.00313001946244,0.403259637694,0.00100176649771,-151.0345,20.0008596832,0.2
27,0.39890370965,0.0030755265322,0.401278781456,0.000996845709135,-141.7241,20.0008596832,0.2
28,0.39535867079,0.00304819446984,0.397269159199,0.000986885115834,-132.4138,20.0008596832,0.2
29,0.381843183245,0.00294399077472,0.38076235833,0.000945879375242,-123.1034,20.0008596832,0.2
30,0.369850372985,0.00285152684105,0.365071654178,0.000906900959661,-113.7931,20.0008596832,0.2
31,0.37863744947,0.00291927473664,0.373530489747,0.000927914166267,-104.4828,20.0008596832,0.2
32,0.366056653837,0.00282227746679,0.365892642207,0.000908940435537,-95.17242,20.0008596832,0.2
33,0.353291166076,0.0027238562304,0.357080377939,0.000887049251079,-85.86207,20.0008596832,0.2
34,0.339158603718,0.00261489492107,0.334296016143,0.000830448966336,-76.55173,20.0008596832,0.2
35,0.314893320072,0.0024278108658,0.314549284972,0.000781394680022,-67.24138,20.0008596832,0.2
36,0.307689767718,0.00237227185762,0.310500657631,0.000771337191365,-57.93103,20.0008596832,0.2
37,0.264751559254,0.00204122053827,0.266250581784,0.00066141237033,-48.62069,20.0008596832,0.2
38,0.206358122566,0.00159101022561,0.203465189886,0.000505442627094,-39.31034,20.0008596832,0.2
41,0.20994339608,0.00161865249504,0.211394760334,0.000525141047846,39.59184,20.0008596832,0.2
42,0.253123399758,0.00195156804273,0.253515610123,0.000629776504087,49.18367,20.0008596832,0.2
43,0.292236346825,0.00225312679876,0.292330434178,0.000726199222154,58.77551,20.0008596832,0.2
44,0.303817257497,0.00234241500836,0.29961836473,0.00074430369873,68.36735,20.0008596832,0.2
45,0.328173252001,0.00253019843956,0.319111374731,0.000792727697893,77.95918,20.0008596832,0.2
46,0.345020599283,0.00266009059726,0.352744417329,0.000876277977022,87.55102,20.0008596832,0.2
47,0.355855770309,0.00274362919358,0.353503824986,0.000878164476629,97.14286,20.0008596832,0.2
48,0.354344195208,0.00273197502939,0.348556951958,0.000865875590749,106.7347,20.0008596832,0.2
49,0.360819564858,0.00278189978737,0.361229841573,0.000897357234481,116.3265,20.0008596832,0.2
50,0.365678620208,0.00281936284748,0.369633994774,0.000918234600653,125.9184,20.0008596832,0.2
51,0.3661605324,0.00282307836503,0.365733988089,0.000908546311342,135.5102,20.0008596832,0.2
52,0.372547041555,0.00287231801329,0.364885031785,0.000906437357446,145.102,20.0008596832,0.2
53,0.381824636576,0.00294384778088,0.380013485809,0.000944019046728,154.6939,20.0008596832,0.2
54,0.367572489078,0.00283396447644,0.358822563199,0.000891377139773,164.2857,20.0008596832,0.2
55,0.372911520193,0.00287512812434,0.367483949283,0.000912893516794,173.8775,20.0008596832,0.2
56,0.378457878118,0.00291789025099,0.381021096232,0.000946522124819,183.4694,20.0008596832,0.2
57,0.377125616178,0.00290761858181,0.386317133738,0.000959678395489,193.0612,20.0008596832,0.2
58,0.381749331072,0.00294326717942,0.381291623451,0.000947194161095,202.6531,20.0008596832,0.2
59,0.379908262118,0.00292907263503,0.382643381621,0.000950552161552,212.2449,20.0008596832,0.2
60,0.387207258819,0.00298534751408,0.392873123236,0.000975964604236,221.8367,20.0008596832,0.2
61,0.375020977962,0.00289139193232,0.376750227707,0.000935912550728,231.4286,20.0008596832,0.2
62,0.383843512581,0.00295941320825,0.382072979306,0.000949135183812,241.0204,20.0008596832,0.2
63,0.376804384416,0.00290514190188,0.375002147788,0.000931570018685,250.6122,20.0008596832,0.2
64,0.373591077058,0.00288036747188,0.371609834281,0.000923142926798,260.2041,20.0008596832,0.2
65,0.382202024728,0.0029467574236,0.379339111743,0.000942343785227,269.7959,20.0008596832,0.2
66,0.373785408289,0.00288186575541,0.380176153312,0.000944423140863,279.3878,20.0008596832,0.2
67,0.375226411376,0.00289297581309,0.376324307245,0.000934854490833,288.9796,20.0008596832,0.2
68,0.373361588915,0.00287859813041,0.379513066891,0.000942775919819,298.5714,20.0008596832,0.2
